id,imdb_id,popularity,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
273248,tt3460252,5.8984,44000000,155760117,The Hateful Eight,samuel l. jackson|kurt russell|jennifer jason leigh|walton goggins|demiã¡n bichir,http://thehatefuleight.com/,quentin tarantino,No one comes up here without a damn good reason.,bounty hunter|wyoming|mountains|hangman|voice over narration,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,167,crime|drama|mystery|western,double feature films|the weinstein company|filmcolony,12/25/15,2389,7.4,2015,40479982.18880779,143299244.588332
260346,tt2446042,5.749758,48000000,325771424,Taken 3,liam neeson|forest whitaker|maggie grace|famke janssen|dougray scott,http://www.taken3movie.com/,olivier megaton,It Ends Here,revenge|murder|on the run|fugitive|framed,"Ex-government operative Bryan Mills finds his life is shattered when he's falsely accused of a murder that hits close to home. As he's pursued by a savvy police inspector, Mills employs his particular set of skills to track the real killer and exact his unique brand of justice.",109,crime|action|thriller,twentieth century fox film corporation|m6 films|canal+|europacorp|cinã©+,1/1/15,1578,6.1,2015,44159980.5696085,299709578.207785
102899,tt0478970,5.5731839999999995,130000000,518602163,Ant-Man,paul rudd|michael douglas|evangeline lilly|corey stoll|bobby cannavale,http://marvel.com/movies/movie/180/ant-man,peyton reed,Heroes Don't Get Any Bigger,marvel comic|superhero|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe,"Armed with the astonishing ability to shrink in scale but increase in strength, con-man Scott Lang must embrace his inner-hero and help his mentor, Dr. Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",115,science fiction|action|adventure,marvel studios,7/14/15,3779,7.0,2015,119599947.376023,477113780.029936
150689,tt1661199,5.556818,95000000,542351353,Cinderella,lily james|cate blanchett|richard madden|helena bonham carter|holliday grainger,,kenneth branagh,Midnight is just the beginning.,cinderella|magic|fairy tale|princess|shoe,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.",112,romance|fantasy|family|drama,walt disney pictures|genre films|beagle pug films|allison shearmur productions,3/12/15,1495,6.8,2015,87399961.54401691,498963025.21626794
131634,tt1951266,5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,jennifer lawrence|josh hutcherson|liam hemsworth|woody harrelson|elizabeth banks,http://www.thehungergames.movie/,francis lawrence,The fire will burn forever.,revolution|strong woman|dystopia|game of death|3d,"With the nation of Panem in a full scale war, Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends â€“ including Gale, Finnick, and Peeta â€“ Katniss goes off on a mission with the unit from District 13 as they risk their lives to stage an assassination attempt on President Snow who has become increasingly obsessed with destroying her. The mortal traps, enemies, and moral choices that await Katniss will challenge her more than any arena she faced in The Hunger Games.",136,war|adventure|science fiction,studio babelsberg|studiocanal|lionsgate|walt disney studios motion pictures|color force,11/18/15,2380,6.5,2015,147199935.232028,598481289.508232
158852,tt1964418,5.4621379999999995,190000000,209035668,Tomorrowland,britt robertson|george clooney|raffey cassidy|thomas robinson|hugh laurie,http://movies.disney.com/tomorrowland,brad bird,Imagine a world where nothing is impossible.,inventor|apocalypse|destiny|imax|dreamer,"Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""Tomorrowland.""",130,action|family|science fiction|adventure|mystery,walt disney pictures|babieka|a113,5/19/15,1899,6.2,2015,174799923.08803302,192312729.942398
307081,tt1798684,5.337064,30000000,91709827,Southpaw,jake gyllenhaal|rachel mcadams|forest whitaker|oona laurence|50 cent,,antoine fuqua,Believe in Hope.,sport,"Billy ""The Great"" Hope, the reigning junior middleweight boxing champion, has an impressive career, a loving wife and daughter, and a lavish lifestyle. However, when tragedy strikes, Billy hits rock bottom, losing his family, his house and his manager. He soon finds an unlikely savior in Tick Willis, a former fighter who trains the city's toughest amateur boxers. With his future on the line, Hope fights to reclaim the trust of those he loves the most.",123,action|drama,escape artists|riche-ludwig productions,6/15/15,1386,7.3,2015,27599987.856005296,84373003.7158783
254128,tt2126355,4.907832,110000000,470490832,San Andreas,dwayne johnson|alexandra daddario|carla gugino|ioan gruffudd|archie panjabi,http://www.sanandreasmovie.com/,brad peyton,"A rescue pilot survived an earthquake, this is what happens next",california|earthquake|catastrophe|disaster film|3d,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter.",114,action|drama|thriller,new line cinema|village roadshow pictures|warner bros.|flynn picture company,5/27/15,2060,6.1,2015,101199955.47201899,432851374.985395
216015,tt2322441,4.71040199999999,40000000,569651467,Fifty Shades of Grey,dakota johnson|jamie dornan|jennifer ehle|eloise mumford|victor rasuk,https://www.facebook.com/fiftyshadesofgreymovie,sam taylor-johnson,Are you curious?,based on novel|billionaire|bdsm|woman director|erotic movie,"When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.",125,drama|romance,focus features|trigger street productions|michael de luca productions,2/11/15,1865,5.3,2015,36799983.808007106,524079119.045187
318846,tt1596363,4.648046,28000000,133346506,The Big Short,christian bale|steve carell|ryan gosling|brad pitt|melissa leo,http://www.thebigshortmovie.com/,adam mckay,This is a true story.,bank|fraud|biography|wall street|finances,The men who made millions from a global economic meltdown.,130,comedy|drama,paramount pictures|plan b entertainment|regency enterprises,12/11/15,1545,7.3,2015,25759988.665604897,122678731.54135801
177677,tt2381249,4.566713,150000000,682330139,Mission: Impossible - Rogue Nation,tom cruise|jeremy renner|simon pegg|rebecca ferguson|ving rhames,http://www.missionimpossible.com,christopher mcquarrie,Desperate Times. Desperate Measures.,spy|sequel|mission,"Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF.",131,action,paramount pictures|skydance productions|china movie channel|bad robot|tc productions,7/23/15,2349,7.1,2015,137999939.280026,627743451.672881
214756,tt2637276,4.5645489999999995,68000000,215863606,Ted 2,mark wahlberg|seth macfarlane|amanda seyfried|jessica barth|giovanni ribisi,,seth macfarlane,"Ted is Coming, Again.",sperm bank|sequel|buddy|courthouse|teddy bear,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",115,comedy,universal pictures|media rights capital|fuzzy door productions,6/25/15,1666,6.3,2015,62559972.4736121,198594430.13845
207703,tt2802144,4.503789,81000000,403802136,Kingsman: The Secret Service,taron egerton|colin firth|samuel l. jackson|michael caine|mark strong,http://www.kingsmanmovie.com/,matthew vaughn,Manners maketh man.,spy|great britain|secret organization|secret agent|marvel comic,The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.,130,crime|comedy|action|adventure,twentieth century fox film corporation|marv films|tsg entertainment|cloudy productions,1/24/15,3833,7.6,2015,74519967.21121441,371497801.660967
314365,tt1895587,4.062293,20000000,88346473,Spotlight,mark ruffalo|michael keaton|rachel mcadams|liev schreiber|john slattery,http://www.spotlightthefilm.com,tom mccarthy,Break the story. Break the silence.,child abuse|journalism|judge|florida|boston,"The true story of how The Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",128,drama|thriller|history,participant media|open road films|anonymous content|rocklin / faust|entertainment one features,11/6/15,1559,7.8,2015,18399991.9040035,81278719.39736341
294254,tt4046784,3.968891,61000000,311256926,Maze Runner: The Scorch Trials,dylan o'brien|kaya scodelario|thomas brodie-sangster|giancarlo esposito|aidan gillen,http://mazerunnermovies.com,wes ball,The Maze Was Just the Beginning.,based on novel|resistance|maze|post-apocalyptic|dystopia,"Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKDâ€™s vastly superior forces and uncover its shocking plans for them all.",132,action|science fiction|thriller,gotham group|temple hill entertainment|tsg entertainment,9/9/15,1849,6.4,2015,56119975.30721079,286356245.923251
198184,tt1823672,3.899557,49000000,102069268,Chappie,sharlto copley|dev patel|ninja|yolandi visser|jose pablo cantillo,http://www.chappie-movie.com,neill blomkamp,I am consciousness. I am alive. I am Chappie.,artificial intelligence|android|robot|near future|robot cop,"Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundingsâ€”some good, some badâ€”and he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot.",120,crime|action|science fiction,columbia pictures|media rights capital|sony pictures entertainment (spe)|alpha core|genre films,3/4/15,1990,6.6,2015,45079980.164808705,93903685.2423785
254470,tt2848292,3.877764,29000000,287506194,Pitch Perfect 2,anna kendrick|rebel wilson|hailee steinfeld|brittany snow|skylar astin,,elizabeth banks,We're back pitches,music|sequel|singer|male female relationship|audition,"The Bellas are back, and they are better than ever. After being humiliated in front of none other than the President of the United States of America, the Bellas are taken out of the Aca-Circuit. In order to clear their name, and regain their status, the Bellas take on a seemingly impossible task: winning an international competition no American team has ever won. In order to accomplish this monumental task, they need to strengthen the bonds of friendship and sisterhood and blow away the competition with their amazing aca-magic! With all new friends and old rivals tagging along for the trip, the Bellas can hopefully accomplish their dreams.",115,comedy|music,universal pictures|gold circle films|brownstone productions,5/7/15,1264,6.8,2015,26679988.260805104,264505582.09754303
296098,tt3682448,3.6482099999999997,40000000,162610473,Bridge of Spies,tom hanks|mark rylance|amy ryan|alan alda|sebastian koch,,steven spielberg,"In the shadow of war, one man showed the world what we stood for.",spy|cia|cold war|pilot|lawyer,"During the Cold War, the Soviet Union captures U.S. pilot Francis Gary Powers after shooting down his U-2 spy plane. Sentenced to 10 years in prison, Powers' only hope is New York lawyer James Donovan, recruited by a CIA operative to negotiate his release. Donovan boards a plane to Berlin, hoping to win the young man's freedom through a prisoner exchange. If all goes well, the Russians would get Rudolf Abel, the convicted spy who Donovan defended in court.",141,thriller|drama,dreamworks skg|amblin entertainment|studio babelsberg|fox 2000 pictures|marc platt productions,10/15/15,1638,7.1,2015,36799983.808007106,149601569.335309
257445,tt1051904,3.6445410000000003,58000000,150170815,Goosebumps,jack black|dylan minnette|odeya rush|amy ryan|jillian bell,http://www.goosebumps-movie.com/,rob letterman,The stories are alive.,based on novel|magic|fantasy|family|3d,"A teenager teams up with the daughter of young adult horror author R.L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware.",103,adventure|horror|comedy,columbia pictures|original film|scholastic entertainment,8/5/15,600,6.2,2015,53359976.5216103,138157089.01088
264644,tt3170832,3.557846,6000000,35401758,Room,brie larson|jacob tremblay|joan allen|sean bridgers|william h. macy,http://www.roomthemovie.com,lenny abrahamson,Love knows no boundaries,based on novel|carpet|isolation|imprisonment|grandparents,Jack is a young boy of 5 years old who has lived all his life in one room. He believes everything within it are the only real things in the world. But what will happen when his Ma suddenly tells him that there are other things outside of Room?,117,drama|thriller,element pictures|no trace camping|a24|duperele films,10/16/15,1520,8.0,2015,5519997.57120106,32569603.029374603
105864,tt1979388,3.3391349999999997,175000000,331926147,The Good Dinosaur,raymond ochoa|jack bright|jeffrey wright|frances mcdormand|maleah nipay-padilla,http://movies.disney.com/the-good-dinosaur,peter sohn,Little Arms With Big Attitude,tyrannosaurus rex|friends|animation|alternate history|dinosaur,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,93,adventure|animation|comedy|family|fantasy,walt disney pictures|pixar animation studios|buena vista,11/14/15,1087,6.6,2015,160999929.16003102,305371920.876354
241554,tt2199571,3.23737,50000000,71561644,Run All Night,liam neeson|ed harris|joel kinnaman|boyd holbrook|bruce mcgill,,jaume collet-serra,No sin goes unpunished,hitman|revenge|murder|on the run|mobster,"Brooklyn mobster and prolific hit man Jimmy Conlon has seen better days. Longtime best friend of a mob boss, Jimmy is haunted by the sins of his pastâ€”as well as a dogged police detective whoâ€™s been one step behind Jimmy for 30 years. But when Jimmyâ€™s estranged son becomes a target, Jimmy must make a choice between the crime family he chose and the real family he abandoned long ago. Now, with nowhere safe to turn, Jimmy has just one night to figure out exactly where his loyalties lie and to see if he can finally make things right.",114,action|crime|drama|mystery|thriller,vertigo entertainment|energy entertainment|ratpac-dune entertainment,3/11/15,814,6.3,2015,45999979.7600089,65836683.5118592
167073,tt2381111,3.227329,11000000,62076141,Brooklyn,saoirse ronan|domhnall gleeson|emory cohen|emily bett rickards|eileen o'higgins,http://www.foxsearchlight.com/brooklyn/,john crowley,"Two countries, two loves, one heart",love triangle|based on novel|homesickness|vororte|ship,"In 1950s Ireland and New York, young Ellis Lacey has to choose between two men and two countries.",111,drama|romance,wildgaze films|irish film board|item 7|parallel film productions,11/4/15,754,7.3,2015,10119995.5472019,57110024.5915891
277216,tt1398426,3.2027189999999996,28000000,201634991,Straight Outta Compton,o'shea jackson jr.|corey hawkins|jason mitchell|neil brown jr.|aldis hodge,http://www.straightouttacompton.com/,f. gary gray,The Story of N.W.A.,brother brother relationship|aids|police brutality|hip-hop|wife husband relationship,"In 1987, five young men, using brutally honest rhymes and hardcore beats, put their frustration and anger about life in the most dangerous place in America into the most powerful weapon they had: their music.  Taking us back to where it all began, Straight Outta Compton tells the true story of how these cultural rebelsâ€”armed only with their lyrics, swagger, bravado and raw talentâ€”stood up to the authorities that meant to keep them down and formed the worldâ€™s most dangerous group, N.W.A.  And as they spoke the truth that no one had before and exposed life in the hood, their voice ignited a social revolution that is still reverberating today.",147,drama|music,new line cinema|universal pictures|legendary pictures|cube vision|broken chair flickz,8/13/15,918,7.7,2015,25759988.665604897,185504110.098191
274854,tt1618442,3.080505,90000000,140396650,The Last Witch Hunter,vin diesel|rose leslie|michael caine|elijah wood|ã“lafur darri ã“lafsson,http://www.thelastwitchhunter.movie/,breck eisner,Hunt forever.,new york|witch|uprising|witch hunter,"The modern world holds many secrets, but by far the most astounding is that witches still live among us; vicious supernatural creatures intent on unleashing the Black Death upon the world and putting an end to the human race once and for all. Armies of witch hunters have battled this unnatural enemy for centuries, including Kaulder, a valiant warrior who many years ago slayed the all-powerful Witch Queen, decimating her followers in the process. In the moments right before her death, the Queen cursed Kaulder with immortality, forever separating him from his beloved wife and daughter. Today, Kaulder is the last living hunter who has spent his immortal life tracking down rogue witches, all the while yearning for his long-lost family.",106,fantasy|action|adventure,summit entertainment|atmosphere entertainment mm|one race films|goldmann pictures|neoreel,10/21/15,879,5.6,2015,82799963.56801601,129164861.16746101
321697,tt2080374,3.0795220000000003,30000000,34441873,Steve Jobs,michael fassbender|kate winslet|seth rogen|katherine waterston|jeff daniels,http://www.stevejobsthefilm.com,danny boyle,,biography|computer|based on true story|father daughter relationship|apple computer,"Set backstage at three iconic product launches and ending in 1998 with the unveiling of the iMac, Steve Jobs takes us behind the scenes of the digital revolution to paint an intimate portrait of the brilliant man at its epicenter.",122,history|drama,universal pictures|scott rudin productions|legendary pictures|the mark gordon company|management 360,10/9/15,1035,6.9,2015,27599987.856005296,31686509.2179359
203801,tt1638355,3.0534209999999997,75000000,108145109,The Man from U.N.C.L.E.,henry cavill|armie hammer|alicia vikander|elizabeth debicki|luca calvani,,guy ritchie,Saving the world never goes out of style.,spy|cold war|remake|based on tv series|buddy cop,"At the height of the Cold War, a mysterious criminal organization plans to use nuclear weapons and technology to upset the fragile balance of power between the United States and Soviet Union. CIA agent Napoleon Solo and KGB agent Illya Kuryakin are forced to put aside their hostilities and work together to stop the evildoers in their tracks. The duo's only lead is the daughter of a missing German scientist, whom they must find soon to prevent a global catastrophe.",116,comedy|action|adventure,davis entertainment|warner bros.|wigram productions|ratpac-dune entertainment,8/13/15,1548,7.0,2015,68999969.64001329,99493456.50287908
293863,tt1655441,3.025852,25000000,42629776,The Age of Adaline,blake lively|michiel huisman|harrison ford|ellen burstyn|kathy baker,http://theageofadalinemovie.com,lee toland krieger,Love is timeless.,san francisco|immortality|love|forever,"After 29-year-old Adaline recovers from a nearly lethal accident, she inexplicably stops growing older. As the years stretch on and on, Adaline keeps her secret to herself  until she meets a man who changes her life.",112,fantasy|drama|romance,lakeshore entertainment|sidney kimmel entertainment|sierra/affinity,4/16/15,1221,7.3,2015,22999989.8800044,39219376.6634742
325348,tt3072482,3.023253,10000000,14333790,Hardcore Henry,sharlto copley|haley bennett|danila kozlovskiy|tim roth|andrei dementiev,http://stxmovies.com/hardcorehenry/,ilya naishuller,First they made him dangerous. Then they made him mad.,female nudity|cyborg|nudity|murder|gore,"Henry, a newly resurrected cyborg who must save his wife/creator from the clutches of a psychotic tyrant with telekinetic powers, AKAN, and his army of mercenaries. Fighting alongside Henry is Jimmy, who is Henry's only hope to make it through the day. Hardcore takes place over the course of one day, in Moscow, Russia.",97,action|adventure|science fiction,bazelevs production|versus pictures,9/12/15,396,5.9,2015,9199995.95200178,13187080.9976843
228161,tt2224026,2.976436,135000000,368871007,Home,jim parsons|rihanna|steve martin|jennifer lopez|matt jones,http://www.meettheboov.com/,tim johnson,Worlds Collide,friendship|spaceship|space|alien|alien invasion,"When Earth is taken over by the overly-confident Boov, an alien race in search of a new place to call home, all humans are promptly relocated, while all Boov get busy reorganizing the planet. But when one resourceful girl, Tip (Rihanna), manages to avoid capture, she finds herself the accidental accomplice of a banished Boov named Oh (Jim Parsons). The two fugitives realize thereâ€™s a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime.",94,fantasy|comedy|animation|science fiction|family,twentieth century fox film corporation|dreamworks animation,3/18/15,1060,6.9,2015,124199945.352024,339361177.121082
286565,tt3622592,2.968254,12000000,85512300,Paper Towns,nat wolff|cara delevingne|halston sage|justice smith|austin abrams,,jake schreier,Get Lost. Get Found.,friendship|high school|teen|classmate|based on young adult book,"Quentin Jacobsen has spent a lifetime loving the magnificently adventurous Margo Roth Spiegelman from afar. So when she cracks open a window and climbs back into his life-dressed like a ninja and summoning him for an ingenious campaign of revenge-he follows. After their all-nighter ends and a new day breaks, Q arrives at school to discover that Margo, always an enigma, has now become a mystery. But Q soon learns that there are clues-and they're for him. Urged down a disconnected path, the closer he gets, the less Q sees of the girl he thought he knew.",109,drama|mystery|romance,fox 2000 pictures,7/9/15,1252,6.2,2015,11039995.1424021,78671281.38463621
254320,tt3464902,2.8851259999999996,4000000,9064511,The Lobster,colin farrell|rachel weisz|lã©a seydoux|john c. reilly|ben whishaw,http://tickets.picturehouseentertainment.co.uk/gb/the-lobster/,yorgos lanthimos,An unconventional love story...,dystopia,"In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods.",118,thriller|comedy|drama|romance|science fiction,haut et court|eurimages|lemming film|element pictures|nederlands fonds voor de film,10/8/15,638,6.6,2015,3679998.38080071,8339346.45068756
258480,tt2402927,2.883233,11800000,40272135,Carol,cate blanchett|rooney mara|kyle chandler|sarah paulson|jake lacy,http://carolfilm.com/,todd haynes,Some people change your life forever.,gay|new york|female nudity|chicago|sex,"In 1950s New York, a department-store clerk who dreams of a better life falls for an older, married woman.",118,romance|drama,killer films|film4|number 9 films,11/20/15,562,7.1,2015,10855995.2233621,37050347.8978469
257211,tt2361509,2.8148020000000002,35000000,194564672,The Intern,robert de niro|anne hathaway|rene russo|anders holm|jojo kushner,http://www.theinternmovie.com/,nancy meyers,Experience never gets old,intern|woman director,"70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",121,comedy,waverly films|warner bros.,9/24/15,1255,7.1,2015,32199985.8320062,178999419.480255
253412,tt2719848,2.7980169999999998,55000000,203427584,Everest,jason clarke|jake gyllenhaal|josh brolin|john hawkes|sam worthington,http://www.everestmovie.com/,baltasar kormã¡kur,The Storm Awaits.,mountains|snow storm|hiking|snow|death,"Inspired by the incredible events surrounding a treacherous attempt to reach the summit of the world's highest mountain, ""Everest"" documents the awe-inspiring journey of two different expeditions challenged beyond their limits by one of the fiercest snowstorms ever encountered by mankind. Their mettle tested by the harshest of elements found on the planet, the climbers will face nearly impossible obstacles as a lifelong obsession becomes a breathtaking struggle for survival.",121,adventure|drama,universal pictures|working title films|walden media|cross creek pictures|free state pictures,9/10/15,1172,6.7,2015,50599977.7360098,187153294.93255
274479,tt2446980,2.793297,60000000,101134059,Joy,jennifer lawrence|bradley cooper|robert de niro|dascha polanco|edgar ramã­rez,http://www.foxmovies.com/movies/joy,david o. russell,,biography,A story based on the life of a struggling Long Island single mom who became one of the country's most successful entrepreneurs.,124,comedy|drama,fox 2000 pictures|davis entertainment|annapurna pictures|tsg entertainment,12/24/15,1001,6.4,2015,55199975.71201059,93043293.3409509
257088,tt2058673,2.6144990000000004,105000000,133718711,Point Break,edgar ramã­rez|luke bracey|teresa palmer|delroy lindo|ray winstone,https://www.facebook.com/PointBreakMovie,ericson core,The only law that matters is gravity,undercover|undercover agent|extreme sports|fbi agent|3d,"A young undercover FBI agent infiltrates a gang of thieves who share a common interest in extreme sports. A remake of the 1991 film, ""Point Break"".",114,action|crime|thriller,studio babelsberg|alcon entertainment|dmg entertainment|ehman productions,12/3/15,505,5.5,2015,96599957.49601871,123021159.990689
